filename,width,height,class,xmin,ymin,xmax,ymax
Screenshot from R0010014_st.MP4 - 5.jpg,3840,1920,adult_standing_penguin,306,1068,368,1148
Screenshot from R0010014_st.MP4 - 5.jpg,3840,1920,adult_toboggan_penguin,488,1045,549,1086
Screenshot from R0010014_st.MP4 - 5.jpg,3840,1920,researcher,2260,812,2407,1045
Screenshot from R0010014_st.MP4 - 5.jpg,3840,1920,researcher,2874,1089,3112,1398
Screenshot from R0010014_st.MP4 - 5.jpg,3840,1920,adult_toboggan_penguin,3624,1208,3735,1256
Screenshot from R0010014_st.MP4 - 5.jpg,3840,1920,adult_toboggan_penguin,3274,1209,3372,1246
Screenshot from R0010014_st.MP4 - 5.jpg,3840,1920,adult_toboggan_penguin,3243,1189,3296,1214
Screenshot from R0010014_st.MP4 - 5.jpg,3840,1920,adult_toboggan_penguin,3112,1168,3168,1193
Screenshot from R0010014_st.MP4 - 5.jpg,3840,1920,adult_standing_penguin,1678,761,1700,799
Screenshot from R0010014_st.MP4 - 5.jpg,3840,1920,adult_toboggan_penguin,72,1146,125,1175
Screenshot from R0010021_st.MP4 - 3.jpg,3840,1920,researcher,1,567,783,1511
Screenshot from R0010021_st.MP4 - 3.jpg,3840,1920,researcher,1022,959,1043,998
Screenshot from R0010021_st.MP4 - 3.jpg,3840,1920,adult_standing_penguin,1458,993,1479,1022
Screenshot from R0010021_st.MP4 - 3.jpg,3840,1920,adult_toboggan_penguin,1482,1019,1521,1034
Screenshot from R0010021_st.MP4 - 3.jpg,3840,1920,adult_toboggan_penguin,1578,1016,1612,1036
Screenshot from R0010021_st.MP4 - 3.jpg,3840,1920,adult_toboggan_penguin,1705,1000,1734,1023
Screenshot from R0010021_st.MP4 - 3.jpg,3840,1920,adult_toboggan_penguin,1741,1004,1763,1025
Screenshot from R0010021_st.MP4 - 3.jpg,3840,1920,adult_toboggan_penguin,1608,1011,1644,1024
Screenshot from R0010021_st.MP4 - 3.jpg,3840,1920,adult_toboggan_penguin,1862,1008,1903,1036
Screenshot from R0010021_st.MP4 - 3.jpg,3840,1920,adult_toboggan_penguin,1885,1013,1915,1042
Screenshot from R0010021_st.MP4 - 3.jpg,3840,1920,adult_standing_penguin,1976,989,2001,1028
Screenshot from R0010021_st.MP4 - 3.jpg,3840,1920,adult_toboggan_penguin,1986,1015,2015,1028
Screenshot from R0010021_st.MP4 - 3.jpg,3840,1920,adult_standing_penguin,2022,985,2046,1038
Screenshot from R0010021_st.MP4 - 3.jpg,3840,1920,adult_standing_penguin,2044,994,2069,1035
Screenshot from R0010021_st.MP4 - 3.jpg,3840,1920,adult_toboggan_penguin,2082,1008,2113,1027
Screenshot from R0010021_st.MP4 - 3.jpg,3840,1920,adult_standing_penguin,2145,1022,2197,1127
Screenshot from R0010021_st.MP4 - 3.jpg,3840,1920,adult_toboggan_penguin,2132,1015,2171,1031
Screenshot from R0010021_st.MP4 - 3.jpg,3840,1920,adult_toboggan_penguin,2304,1004,2353,1023
Screenshot from R0010021_st.MP4 - 3.jpg,3840,1920,adult_toboggan_penguin,2400,981,2433,999
Screenshot from R0010021_st.MP4 - 3.jpg,3840,1920,researcher,2889,941,2906,970
Screenshot from R0010021_st.MP4 - 3.jpg,3840,1920,researcher,2911,935,2928,975
Screenshot from R0010037_st.MP4 - 3.jpg,3840,1920,adult_standing_penguin,73,955,119,1019
Screenshot from R0010037_st.MP4 - 3.jpg,3840,1920,adult_standing_penguin,113,936,149,1018
Screenshot from R0010037_st.MP4 - 3.jpg,3840,1920,researcher,412,499,1389,1569
Screenshot from R0010037_st.MP4 - 3.jpg,3840,1920,adult_toboggan_penguin,1384,970,1467,1008
Screenshot from R0010037_st.MP4 - 3.jpg,3840,1920,adult_standing_penguin,1451,898,1517,1046
Screenshot from R0010037_st.MP4 - 3.jpg,3840,1920,adult_standing_penguin,1619,897,1686,1040
Screenshot from R0010037_st.MP4 - 3.jpg,3840,1920,adult_standing_penguin,1821,909,1879,1011
Screenshot from R0010037_st.MP4 - 3.jpg,3840,1920,adult_standing_penguin,1897,899,1958,1019
Screenshot from R0010037_st.MP4 - 3.jpg,3840,1920,adult_standing_penguin,1928,909,1961,1006
Screenshot from R0010037_st.MP4 - 3.jpg,3840,1920,adult_standing_penguin,2102,899,2216,1047
Screenshot from R0010037_st.MP4 - 3.jpg,3840,1920,adult_toboggan_penguin,2341,949,2419,994
Screenshot from R0010037_st.MP4 - 3.jpg,3840,1920,adult_standing_penguin,2459,894,2546,1080
Screenshot from R0010037_st.MP4 - 3.jpg,3840,1920,adult_standing_penguin,2538,899,2597,1054
Screenshot from R0010037_st.MP4 - 3.jpg,3840,1920,adult_standing_penguin,2677,912,2778,1078
Screenshot from R0010037_st.MP4 - 3.jpg,3840,1920,adult_standing_penguin,2751,923,2797,1014
